Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
10,19.56,310.27,11.8GB / 69.6MB,0.00,16,8
10,19.25,299.01,11.8GB / 69.6MB,0.00,14,8
10,9.86,300.03,11.8GB / 69.6MB,0.00,14,8
10,6.85,299.01,11.8GB / 69.7MB,0.00,14,8
10,8.51,300.03,11.8GB / 69.7MB,0.00,14,8
10,6.80,300.03,11.8GB / 69.7MB,0.00,14,8
10,7.87,300.03,11.8GB / 69.7MB,0.00,14,8
10,15.90,301.05,11.8GB / 69.7MB,0.00,14,8
10,8.31,301.05,11.8GB / 69.8MB,51.20,14,8
10,6.27,301.05,11.8GB / 69.8MB,0.00,14,8
10,7.93,301.05,11.8GB / 69.8MB,0.00,14,8
10,12.68,301.05,11.8GB / 69.8MB,0.00,14,8
10,8.56,301.05,11.8GB / 69.8MB,0.00,14,8
10,12.85,301.05,11.8GB / 69.9MB,0.00,14,8
10,10.35,301.05,11.8GB / 69.9MB,0.00,14,8
10,7.26,301.05,11.8GB / 69.9MB,0.00,14,8
11,7.07,302.08,11.8GB / 69.9MB,0.00,14,8
11,0.44,302.08,11.8GB / 69.9MB,0.00,14,8
11,18.96,302.08,11.8GB / 69.9MB,0.00,14,8
11,7.34,302.08,11.8GB / 70MB,0.00,14,8
11,8.28,302.08,11.8GB / 70MB,0.00,14,8
11,18.68,303.10,11.8GB / 70MB,0.00,14,8
11,13.49,303.10,11.8GB / 70.1MB,0.00,14,8
11,14.48,297.98,11.8GB / 70.1MB,0.00,13,8
11,5.42,287.74,11.8GB / 70.1MB,0.00,11,8
11,5.01,271.36,11.8GB / 70.1MB,0.00,8,8
11,0.79,270.33,11.8GB / 70.1MB,0.00,8,8
0,73.28,0.00,11.8GB / 70.3MB,0.00,22,16
0,99.31,29.70,11.8GB / 70.4MB,51.20,24,16
0,68.94,48.13,11.8GB / 70.5MB,0.00,24,16
0,75.25,62.47,11.8GB / 70.6MB,51.20,24,16
0,49.24,78.85,11.8GB / 70.7MB,0.00,24,16
0,85.82,100.35,11.8GB / 70.8MB,0.00,24,16
0,59.07,115.71,11.8GB / 70.9MB,51.20,24,16
0,70.23,133.12,11.8GB / 71MB,0.00,24,16
0,46.81,146.43,11.8GB / 71.1MB,0.00,24,16
0,57.02,160.77,11.8GB / 71.2MB,51.20,24,16
0,44.09,173.06,11.8GB / 71.3MB,0.00,24,16
0,60.71,189.44,11.8GB / 71.4MB,0.00,24,16
0,28.46,196.61,11.8GB / 71.5MB,0.00,24,16
0,44.12,203.78,11.8GB / 71.6MB,51.20,24,16
0,28.01,208.90,11.8GB / 71.7MB,0.00,24,16
0,41.02,216.07,11.8GB / 71.7MB,0.00,24,16
1,24.99,222.21,11.8GB / 71.8MB,0.00,24,16
1,69.34,229.38,11.8GB / 71.9MB,0.00,24,16
1,14.81,230.40,11.8GB / 71.9MB,0.00,24,16
1,29.98,235.52,11.8GB / 72MB,0.00,24,16
1,42.96,245.76,11.8GB / 72.1MB,51.20,24,16
1,48.62,252.93,11.8GB / 72.1MB,0.00,24,16
1,26.66,259.07,11.8GB / 72.2MB,0.00,24,16
1,54.97,265.22,11.8GB / 72.3MB,0.00,24,16
1,28.97,271.36,11.8GB / 72.4MB,0.00,24,16
1,9.08,274.43,11.8GB / 72.4MB,0.00,24,16
1,47.29,280.58,11.8GB / 72.5MB,0.00,24,16
1,25.06,286.72,11.8GB / 72.6MB,51.20,24,16
1,4.21,288.77,11.8GB / 72.6MB,0.00,24,16
1,22.40,291.84,11.8GB / 72.6MB,0.00,24,16
1,40.98,296.96,11.8GB / 72.7MB,0.00,24,16
1,26.66,300.03,11.8GB / 72.7MB,0.00,24,16
1,26.64,303.11,11.8GB / 72.8MB,0.00,24,16
1,19.57,308.23,11.8GB / 72.8MB,0.00,24,16
1,0.78,307.20,11.8GB / 72.8MB,51.20,24,16
1,28.27,309.25,11.8GB / 72.9MB,0.00,24,16
1,45.99,315.39,11.8GB / 72.9MB,0.00,24,16
1,5.49,317.44,11.8GB / 72.9MB,0.00,25,16
1,1.18,317.44,11.8GB / 72.9MB,0.00,25,16
1,47.63,321.54,11.8GB / 73MB,0.00,24,16
1,17.74,325.63,11.8GB / 73.1MB,51.20,24,16
1,0.88,324.61,11.8GB / 73.1MB,0.00,24,16
1,1.21,325.63,11.8GB / 73.1MB,0.00,24,16
1,7.58,325.63,11.8GB / 73.1MB,0.00,24,16
1,48.23,330.75,11.8GB / 73.2MB,0.00,24,16
2,1.10,332.80,11.8GB / 73.2MB,0.00,24,16
2,26.19,334.85,11.8GB / 73.2MB,0.00,24,16
2,43.99,340.99,11.8GB / 73.3MB,51.20,24,16
2,1.29,342.02,11.8GB / 73.3MB,0.00,24,16
2,25.14,344.07,11.8GB / 73.3MB,0.00,24,16
2,50.53,349.19,11.8GB / 73.4MB,0.00,24,16
2,0.94,351.23,11.8GB / 73.5MB,0.00,24,16
2,38.10,354.31,11.8GB / 73.5MB,0.00,24,16
2,38.88,360.45,11.8GB / 73.6MB,51.20,24,16
2,39.23,362.50,11.8GB / 73.6MB,0.00,24,16
2,46.78,367.62,11.8GB / 73.7MB,0.00,24,16
2,6.43,368.64,11.8GB / 73.7MB,0.00,24,16
2,44.22,373.76,11.8GB / 73.8MB,51.20,24,16
2,7.27,377.86,11.8GB / 73.9MB,0.00,24,16
2,37.77,380.93,11.8GB / 73.9MB,0.00,24,16
2,47.10,386.05,11.8GB / 74MB,0.00,24,16
2,1.13,387.07,11.8GB / 74.1MB,0.00,24,16
2,49.03,392.19,11.8GB / 74.2MB,51.20,24,16
2,12.37,396.29,11.8GB / 74.2MB,0.00,24,16
2,49.67,399.36,11.8GB / 74.3MB,0.00,24,16
2,46.85,405.51,11.8GB / 74.4MB,0.00,24,16
2,51.33,407.55,11.8GB / 74.4MB,0.00,24,16
2,53.32,412.67,11.8GB / 74.5MB,51.20,24,16
2,29.90,415.75,11.8GB / 74.6MB,0.00,24,16
2,39.69,419.84,11.8GB / 74.7MB,0.00,24,16
2,4.60,423.94,11.8GB / 74.7MB,0.00,24,16
2,59.40,427.01,11.8GB / 74.8MB,0.00,24,16
2,52.29,431.11,11.8GB / 74.9MB,51.20,24,16
2,39.91,434.18,11.8GB / 74.9MB,0.00,24,16
2,36.02,437.25,11.8GB / 75MB,0.00,24,16
3,16.42,440.32,11.8GB / 75.1MB,0.00,24,16
3,29.35,442.37,11.8GB / 75.1MB,0.00,24,16
3,48.92,447.49,11.8GB / 75.2MB,51.20,24,16
3,0.93,450.56,11.8GB / 75.2MB,0.00,24,16
3,0.47,449.54,11.8GB / 75.2MB,0.00,24,16
3,16.85,450.56,11.8GB / 75.3MB,0.00,24,16
3,28.64,453.63,11.8GB / 75.3MB,0.00,24,16
3,32.58,455.68,11.8GB / 75.4MB,0.00,24,16
3,0.61,456.71,11.8GB / 75.4MB,0.00,24,16
3,1.30,458.75,11.8GB / 75.4MB,51.20,24,16
3,20.07,459.78,11.8GB / 75.5MB,0.00,24,16
3,43.58,463.87,11.8GB / 75.6MB,0.00,24,16
3,36.83,466.95,11.8GB / 75.6MB,0.00,24,16
3,0.82,467.97,11.8GB / 75.7MB,0.00,24,16
3,0.92,467.97,11.8GB / 75.7MB,0.00,24,16
3,24.57,470.02,11.8GB / 75.7MB,0.00,24,16
3,37.92,473.09,11.8GB / 75.8MB,0.00,24,16
3,27.35,476.16,11.8GB / 75.9MB,51.20,24,16
