Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717890657,106.91%,4.64GiB / 125.8GiB,9.65GB / 39.6MB,377kB / 27.6GB,39
1717890659,213.91%,4.641GiB / 125.8GiB,9.66GB / 39.7MB,377kB / 27.7GB,39
1717890661,167.73%,4.641GiB / 125.8GiB,9.68GB / 39.8MB,377kB / 27.7GB,39
1717890663,179.09%,4.642GiB / 125.8GiB,9.69GB / 39.9MB,377kB / 27.7GB,39
1717890665,227.95%,4.642GiB / 125.8GiB,9.7GB / 40.1MB,377kB / 27.8GB,39
1717890667,102.91%,4.643GiB / 125.8GiB,9.71GB / 40.2MB,377kB / 27.8GB,39
1717890669,254.51%,4.643GiB / 125.8GiB,9.73GB / 40.4MB,377kB / 27.8GB,39
1717890671,245.87%,4.645GiB / 125.8GiB,9.75GB / 40.6MB,377kB / 27.9GB,39
1717890673,183.13%,4.648GiB / 125.8GiB,9.77GB / 40.8MB,377kB / 28GB,40
1717890675,258.26%,4.661GiB / 125.8GiB,9.79GB / 40.9MB,377kB / 28GB,40
1717890677,270.30%,4.795GiB / 125.8GiB,9.8GB / 41.1MB,377kB / 28.1GB,40
1717890679,127.02%,4.79GiB / 125.8GiB,9.82GB / 41.2MB,377kB / 28.2GB,39
1717890681,173.07%,4.791GiB / 125.8GiB,9.83GB / 41.3MB,377kB / 28.4GB,39
1717890683,63.39%,4.792GiB / 125.8GiB,9.84GB / 41.4MB,377kB / 28.4GB,39
1717890685,0.83%,4.791GiB / 125.8GiB,9.84GB / 41.4MB,377kB / 28.4GB,39
1717890687,5.44%,4.793GiB / 125.8GiB,9.84GB / 41.5MB,377kB / 28.5GB,39
1717890689,233.51%,4.793GiB / 125.8GiB,9.85GB / 41.6MB,377kB / 28.5GB,39
1717890691,143.30%,4.794GiB / 125.8GiB,9.86GB / 41.7MB,377kB / 28.6GB,39
1717890693,218.16%,4.795GiB / 125.8GiB,9.87GB / 41.8MB,377kB / 28.7GB,39
1717890695,158.85%,4.796GiB / 125.8GiB,9.88GB / 41.9MB,377kB / 28.7GB,39
1717890697,217.43%,4.796GiB / 125.8GiB,9.89GB / 42MB,377kB / 28.8GB,39
1717890699,259.03%,4.797GiB / 125.8GiB,9.91GB / 42.2MB,377kB / 28.8GB,39
1717890701,142.96%,4.797GiB / 125.8GiB,9.92GB / 42.3MB,377kB / 28.8GB,39
1717890703,212.85%,4.798GiB / 125.8GiB,9.93GB / 42.4MB,377kB / 28.9GB,39
